name	src_file	src_line	ns_since_start	exec_time_ns	thread	value
__gbprof::run_begin{run_id=fixture-run}	godot-bevy-test/src/profiling.rs	64	100	5	1	
__gbprof::benchmark{benchmark=fixture_bench inner_repetitions=3}	godot-bevy-test/src/profiling.rs	72	200	5000	1	
__gbprof::phase{benchmark=fixture_bench phase=warmup}	godot-bevy-test/src/profiling.rs	82	220	900	1	
__gbprof::iteration{benchmark=fixture_bench phase=warmup iteration=0 inner_repetitions=3}	godot-bevy-test/src/profiling.rs	95	240	120	1	
__gbprof::measured{benchmark=fixture_bench phase=warmup iteration=0}	godot-bevy-test/src/profiling.rs	111	260	60	1	
warmup_zone	itest/rust/src/benchmarks.rs	15	270	20	1	
__gbprof::iteration{benchmark=fixture_bench phase=warmup iteration=1 inner_repetitions=3}	godot-bevy-test/src/profiling.rs	95	400	120	1	
__gbprof::measured{benchmark=fixture_bench phase=warmup iteration=1}	godot-bevy-test/src/profiling.rs	111	420	60	1	
__gbprof::iteration{benchmark=fixture_bench phase=warmup iteration=2 inner_repetitions=3}	godot-bevy-test/src/profiling.rs	95	560	120	1	
__gbprof::measured{benchmark=fixture_bench phase=warmup iteration=2}	godot-bevy-test/src/profiling.rs	111	580	60	1	
__gbprof::iteration{benchmark=fixture_bench phase=warmup iteration=3 inner_repetitions=3}	godot-bevy-test/src/profiling.rs	95	720	120	1	
__gbprof::measured{benchmark=fixture_bench phase=warmup iteration=3}	godot-bevy-test/src/profiling.rs	111	740	60	1	
__gbprof::iteration{benchmark=fixture_bench phase=warmup iteration=4 inner_repetitions=3}	godot-bevy-test/src/profiling.rs	95	880	120	1	
__gbprof::measured{benchmark=fixture_bench phase=warmup iteration=4}	godot-bevy-test/src/profiling.rs	111	900	60	1	
__gbprof::phase{benchmark=fixture_bench phase=sample}	godot-bevy-test/src/profiling.rs	82	1200	3700	1	
__gbprof::iteration{benchmark=fixture_bench phase=sample iteration=0 inner_repetitions=3}	godot-bevy-test/src/profiling.rs	95	1220	140	1	
