name	src_file	src_line	ns_since_start	exec_time_ns	thread	value
__gbprof::run_begin{run_id=fixture-run}	godot-bevy-test/src/profiling.rs	64	100	5	1	
__gbprof::benchmark{benchmark=fixture_bench inner_repetitions=3}	godot-bevy-test/src/profiling.rs	72	200	50	1	
__gbprof::phase{benchmark=fixture_bench phase=warmup}	godot-bevy-test/src/profiling.rs	82	220	30	1	
__gbprof::iteration{benchmark=fixture_bench phase=warmup iteration=0 inner_repetitions=3}	godot-bevy-test/src/profiling.rs	95	240	20	1	
__gbprof::measured{benchmark=fixture_bench phase=warmup iteration=0}	godot-bevy-test/src/profiling.rs	111	260	10	1	
warmup_zone	itest/rust/src/benchmarks.rs	15	270	15	1	
__gbprof::iteration{benchmark=fixture_bench phase=warmup iteration=1 inner_repetitions=3}	godot-bevy-test/src/profiling.rs	95	400	20	1	
__gbprof::measured{benchmark=fixture_bench phase=warmup iteration=1}	godot-bevy-test/src/profiling.rs	111	420	10	1	
__gbprof::iteration{benchmark=fixture_bench phase=warmup iteration=2 inner_repetitions=3}	godot-bevy-test/src/profiling.rs	95	560	20	1	
__gbprof::measured{benchmark=fixture_bench phase=warmup iteration=2}	godot-bevy-test/src/profiling.rs	111	580	10	1	
__gbprof::iteration{benchmark=fixture_bench phase=warmup iteration=3 inner_repetitions=3}	godot-bevy-test/src/profiling.rs	95	720	20	1	
__gbprof::measured{benchmark=fixture_bench phase=warmup iteration=3}	godot-bevy-test/src/profiling.rs	111	740	10	1	
__gbprof::iteration{benchmark=fixture_bench phase=warmup iteration=4 inner_repetitions=3}	godot-bevy-test/src/profiling.rs	95	880	20	1	
__gbprof::measured{benchmark=fixture_bench phase=warmup iteration=4}	godot-bevy-test/src/profiling.rs	111	900	10	1	
__gbprof::phase{benchmark=fixture_bench phase=sample}	godot-bevy-test/src/profiling.rs	82	1200	40	1	
__gbprof::iteration{benchmark=fixture_bench phase=sample iteration=0 inner_repetitions=3}	godot-bevy-test/src/profiling.rs	95	1220	25	1	
setup_zone	itest/rust/src/benchmarks.rs	10	1225	10	1	
__gbprof::measured{benchmark=fixture_bench phase=sample iteration=0}	godot-bevy-test/src/profiling.rs	111	1240	10	1	
hot_zone	itest/rust/src/benchmarks.rs	20	1250	30	1	
occasional_zone	itest/rust/src/benchmarks.rs	30	1300	5	1	
__gbprof::iteration{benchmark=fixture_bench phase=sample iteration=1 inner_repetitions=3}	godot-bevy-test/src/profiling.rs	95	1380	25	1	
__gbprof::measured{benchmark=fixture_bench phase=sample iteration=1}	godot-bevy-test/src/profiling.rs	111	1400	10	1	
hot_zone	itest/rust/src/benchmarks.rs	20	1410	31	1	
__gbprof::iteration{benchmark=fixture_bench phase=sample iteration=2 inner_repetitions=3}	godot-bevy-test/src/profiling.rs	95	1540	25	1	
__gbprof::measured{benchmark=fixture_bench phase=sample iteration=2}	godot-bevy-test/src/profiling.rs	111	1560	10	1	
hot_zone	itest/rust/src/benchmarks.rs	20	1570	32	1	
__gbprof::iteration{benchmark=fixture_bench phase=sample iteration=3 inner_repetitions=3}	godot-bevy-test/src/profiling.rs	95	1700	25	1	
__gbprof::measured{benchmark=fixture_bench phase=sample iteration=3}	godot-bevy-test/src/profiling.rs	111	1720	10	1	
